Area_id,Area,Initial_assessment,Total_owed_prevention/relief_duty,Prevention_duty,Temporary_tenancy_expires,Relief_duty,No_duty_owned,No_of_households,Household_threatened_homelessness,Household_assessed_homeless
E06000042,Milton Keynes,442,434,134,44,300,8,109, 1.23 , 2.75 
E07000210,Mole Valley,74,71,46,1,25,3,38, 1.22 , 0.66 
E07000091,New Forest,181,170,126,21,44,11,81, 1.56 , 0.54 
E07000175,Newark & Sherwood,85,80,37,14,43,5,55, 0.68 , 0.79 
E08000021,Newcastle on Tyne,633,602,418,24,184,31,125, 3.34 , 1.47 
E07000195,Newcastle under Lyme,132,130,47,3,83,2,57, 0.82 , 1.45 
E09000025,Newham,589,589,167,31,422,0,118, 1.41 , 3.57 
E07000043,North Devon,220,217,114,19,103,3,44, 2.60 , 2.35 
E07000038,North East Derbyshire,68,67,44,9,23,1,46, 0.95 , 0.50 
E06000012,North East Lincolnshire,345,342,142,14,200,3,71, 1.99 , 2.80 
E07000099,North Hertfordshire,95,95,33,5,62,0,57, 0.58 , 1.08 
E07000139,North Kesteven,107,107,43,10,64,0,53, 0.82 , 1.22 
E06000013,North Lincolnshire,253,252,131,24,121,1,75, 1.75 , 1.61 
E07000147,North Norfolk,109,109,40,16,69,0,50, 0.80 , 1.38 
E06000061,North Northamptonshire,411,407,164,30,243,4,154, 1.06 , 1.58 
E06000024,North Somerset,190,189,113,41,76,1,99, 1.15 , 0.77 
E08000022,North Tyneside,255,253,133,12,120,2,98, 1.36 , 1.22 
E07000218,North Warwickshire,29,29,18,2,11,0,29, 0.62 , 0.38 
E07000134,North West Leicestershire,100,94,44,5,50,6,47, 0.93 , 1.06 
E06000057,Northumberland,269,269,105,28,164,0,148, 0.71 , 1.11 
E07000148,Norwich,528,261,74,24,187,267,64, 1.16 , 2.92 
E06000018,Nottingham,666,657,282,76,375,9,131, 2.15 , 2.86 
E07000219,Nuneaton & Bedworth,207,201,76,0,125,6,57, 1.34 , 2.20 
E07000135,Oadby & Wigston,81,81,32,7,49,0,21, 1.52 , 2.33 
E08000004,Oldham,648,644,294,35,350,4,97, 3.04 , 3.62 
E07000178,Oxford,167,160,81,17,79,7,53, 1.54 , 1.50 
E07000122,Pendle,202,92,71,21,21,110,40, 1.79 , 0.53 
E06000031,Peterborough,423,423,276,67,147,0,83, 3.34 , 1.78 
E06000026,Plymouth,497,458,155,44,303,39,112, 1.38 , 2.70 
E06000044,Portsmouth,650,629,215,84,414,21,91, 2.36 , 4.55 
E07000123,Preston,78,78,31,1,47,0,59, 0.53 , 0.80 
E06000038,Reading,621,354,166,18,188,267,66, 2.53 , 2.87 
E09000026,Redbridge,270,260,77,30,183,10,111, 0.70 , 1.65 
E06000003,Redcar & Cleveland,104,103,53,8,50,1,64, 0.83 , 0.78 
E07000236,Redditch,147,144,63,6,81,3,36, 1.77 , 2.28 
E07000211,Reigate & Banstead,127,127,82,22,45,0,61, 1.35 , 0.74 
E07000124,Ribble Valley,23,23,4,0,19,0,28, 0.15 , 0.69 
E09000027,Richmond upon Thames,139,123,33,1,90,16,85, 0.39 , 1.06 
E07000166,Richmondshire,52,52,24,3,28,0,23, 1.06 , 1.24 
E08000005,Rochdale,415,414,296,34,118,1,95, 3.10 , 1.24 
E07000075,Rochford,70,68,32,7,36,2,36, 0.89 , 1.00 
E07000125,Rossendale,173,173,151,26,22,0,32, 4.74 , 0.69 
E07000064,Rother,149,147,64,21,83,2,46, 1.39 , 1.80 
E08000018,Rotherham,366,366,131,30,235,0,115, 1.14 , 2.05 
E07000220,Rugby,..,..,..,..,..,..,47, .. , .. 
E07000212,Runnymede,80,80,39,4,41,0,35, 1.11 , 1.17 
E07000176,Rushcliffe,74,74,43,0,31,0,51, 0.84 , 0.60 
E07000092,Rushmoor,137,137,93,24,44,0,38, 2.47 , 1.17 
E06000017,Rutland,39,36,14,1,22,3,18, 0.79 , 1.25 
E07000167,Ryedale,61,61,41,2,20,0,26, 1.60 , 0.78 
E08000006,Salford,887,883,355,57,528,4,119, 2.99 , 4.44 
E08000028,Sandwell,446,444,248,12,196,2,130, 1.90 , 1.50 
E07000168,Scarborough,208,207,77,15,130,1,52, 1.49 , 2.52 
E07000188,Sedgemoor,183,179,65,27,114,4,55, 1.17 , 2.06 
